Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
F46,One for all.,Crash,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7a88f72a75bdc6d2a316b249,https://www.ruthenia.ru/folklore/berezkin/f46.html,"Wilbert, Simoneau 1984a, No. 142 : 434"
F46A,Woman in a tree.,Crash,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=72cda133d7f69ea82b718d23,https://www.ruthenia.ru/folklore/berezkin/f46a.html,
F47A,Parts of the female body.,Crash,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=528a7cad74e50c72c93d216c,https://www.ruthenia.ru/folklore/berezkin/f47a.html,
F51B,Finds by the thread.,"Oirats (incl Torgouts, Derbets, Oilots)",44.08057,96.5332,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7e0ed8d133f285f237bbcc0f,https://www.ruthenia.ru/folklore/berezkin/f51b.html,
F59,Man in woman: modelling the figure.,"Northeastern Yakuts (Sakha): Yana, Indigirka And Kolyma Basins",67.55,133.39,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=366beb84ae34af86770a998b,https://www.ruthenia.ru/folklore/berezkin/f59.html,
F60,The trickster heals the girl.,Tsimshian,54.5,-129,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9bfe5e5bae9f2d583e1f2cec,https://www.ruthenia.ru/folklore/berezkin/f60.html,
F62,Incognito at a festival.,"Northeastern Yakuts (Sakha): Yana, Indigirka And Kolyma Basins",67.55,133.39,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=6a6b93c9d31caf862aaa8554,https://www.ruthenia.ru/folklore/berezkin/f62.html,
F65,The imaginary dead man.,Kwakiutl (Kwakwaka&#039;wakw),51,-127.3,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=e832fa4e22aa87c6103e09e1,https://www.ruthenia.ru/folklore/berezkin/f65.html,
f65c,The imaginary dead man: the boy reveals the deception.,Sarsee (Tsuu T&#039;ina),52.5,-116,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=haSAHgbjfE6aXPgMPsHpww,https://www.ruthenia.ru/folklore/berezkin/f65c.html,(cf.)
F70C,The castrated becomes a man (ATU 318).,"Mehri; Harsusi, Jibbali (Shahri, Shauri)",17,52.2,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2be2b91ecdb7d6b865a432c0,https://www.ruthenia.ru/folklore/berezkin/f70c.html,
F71,"Susanna and the Elders, ATU 883A.",Armenians,39.92952,43.65381,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=c8fc82b2784cd7660879bbe3,https://www.ruthenia.ru/folklore/berezkin/f71.html,
F79,"Animal wives, B600.1.",Lepcha,27.1,83.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=5f335c42d7633eeac3b139ac,https://www.ruthenia.ru/folklore/berezkin/f79.html,
F86,Conditional signal.,"Suya, Txukarramae",-13,-52,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=g86mo2d6o0vxb32wev4xczk7,https://www.ruthenia.ru/folklore/berezkin/f86.html,"Suya : Wilbert, Simoneau 1984a, No. 154:148-151"
F86,Conditional signal.,Mehinaka,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7468f113e818ff9a65dcb108,https://www.ruthenia.ru/folklore/berezkin/f86.html,
F86,Conditional signal.,Mehinaca,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9214c8219ea5b3b5ba1ea8df,https://www.ruthenia.ru/folklore/berezkin/f86.html,
F86,Conditional signal.,Andoque,-0.5,-73.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=vbcmmrkyuxuev5zteksj5veh,https://www.ruthenia.ru/folklore/berezkin/f86.html,"andoque : Landaburu, Pineda 1984:98-113"
F88,The scent of women.,N/A,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=lwxpzx7o69ctgfc4xmitxjyt,https://www.ruthenia.ru/folklore/berezkin/f88.html,Münzel 1973 : 162-169
F91,The worm grower.,Labrador Inuit (Koksoagmiut),59,-70,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=a377932c533b0fec4343a6e1,https://www.ruthenia.ru/folklore/berezkin/f91.html,
f100a,A chaste woman revives a man.,Kirghiz,41.5,75,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=TpP8u491e0GplaXCg81O5g,https://www.ruthenia.ru/folklore/berezkin/f100a.html,{summary compiled by Ruslan Doutalieiev from the Kyrgyz original}
f100a,A chaste woman revives a man.,Kirghiz,41.5,75,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=bqeuaA4_FUeKQrHWmG0stA,https://www.ruthenia.ru/folklore/berezkin/f100a.html,
f100b,A minor transgression by a chaste woman.,Kirghiz,41.5,75,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=OZFxv_pZMkugNYEvWmK1ZQ,https://www.ruthenia.ru/folklore/berezkin/f100b.html,{summary compiled by Ruslan Doutalieyev from the Kyrgyz original}
