Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
,N/A,Nigeria,9.61,8.148,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=7TKaGWTPYHytCPk4qH0GzWJk,N/A,
,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=aPc8pMRfDnUV8T14Igrgwye2,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=CbnHsm8fmYgkck3X2zKpwtaB,N/A,
,N/A,Persia,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=l4KI31ZECpbrn5kT3WYyLSiq,N/A,
,N/A,France,46.94026,2.9248,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=zaUlhoatnGSjA8imJLHQ8Rxy,N/A,
,N/A,Denmark,56.001,9.379,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=lGCHFTUrR1kL5XROKgTzc0t5,N/A,
,N/A,Europe,N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=jQdJTIrkIRaoEVhyAeFCD2iB,N/A,
,N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=CbwJWFF5Xm1kkpZ1SbK6iKqZ,N/A,
,N/A,Icelanders,64.5,-20,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=wfN12mr5BqZrNjKaM0UAxjEs,N/A,
,N/A,"Japan, Yei Theodora Ozaki, Japan",N/A,N/A,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=IEcd9H8PwcLAad7skWl9RCl2,N/A,
,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=wxQtX7EvAHZtTIZjWr9j5uGI,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=rhKFyxEAefVrA6IhAeASKYMx,N/A,
,N/A,Scotland,55.95,-3.188,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2cFGCojNUV2ptMT4q2D45VQ5,N/A,
,N/A,England,51.30,0.7,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=QXj63WImNed0WOXTWR1J66Be,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=rs9FXjw1QR5M3vhWPP8lBMQJ,N/A,
,N/A,Austria,47.632,13.798,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=M7wVQJZxdJU8NIQxHvspxEjc,N/A,
,N/A,France,46.94026,2.9248,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Y3jObjREFvTxSGMD3EExS0wi,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=IfY0ugYz7xjc5XM9gGmcqQVW,N/A,
,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=TFSwcMGj3H0nDaCgbIHb1Mgl,N/A,
,N/A,Ireland,53,-8,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=jtKlH9B9ykUhAiezujAGjVn9,N/A,
,N/A,Philippines,15.587,121.822,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=2zuXEDyd4bmKTqUQKeSUdlNQ,N/A,
,N/A,Japan,36.767,137.469,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=KFksvMgYX3VvSp9crri8ux0e,N/A,
,N/A,Hungarians,46.82412,20.79492,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=pmUnwx8ftCygVsx6tIbbANO2,N/A,
,N/A,Basques,43,-1.5,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=9VcUJdiFx2dnEElK9LddNxdF,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=8FTZfb96R9I3mDfQf5M9Ltbf,N/A,
,N/A,"Indian Literary Tradition (Vedic, Brahman, Purana, Indian Buddhism, Hinduism, Ramayana, Mahabharata, Panchtantra, Jatakas); Iconography Of Hindu Temples",25.56227,83.08594,https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Jc5xTOk5ekASOirfTgN6FUpm,N/A,
