Motif Reference,Motif Title,Location / Tradition,Latitude,Longitude,source,berezkin,other_data
706,N/A,Zanzibar,N/A,N/A,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=r5TzQULA3NswdaiZ9pSJkw19,N/A,xmlfiles/lang/lang_lilac-20.xml
707,N/A,Spain,40.365,-3.652,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=R3dYv4v0AKVho59pK6FazyQn,N/A,xmlfiles/lang/lang_pink-24.xml
707,N/A,Spain,40.365,-3.652,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=YemmUP80CbDJFj5qZRovDXMp,N/A,xmlfiles/eng/trans-3780.xml
707,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=XrD793DJazQY0G8E9oJ9O7uR,N/A,xmlfiles/eng/trans-915.xml
707,N/A,Romania,45.825,25.094,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=XumgXCVmxupU0az3NAzPbp8M,N/A,xmlfiles/lang/lang_violet-27.xml
709,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=tiGMhudRr0Ombcsq1mhjaCD7,N/A,xmlfiles/lang/lang_red-35.xml
709,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=BsduzGH1RqUWPeZX0db2ov8P,N/A,xmlfiles/eng/trans-3902.xml
709,N/A,Russian Federation,59.039,98.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=yop8gevy3H9dEofEtP11QBAk,N/A,xmlfiles/eng/trans-4018.xml
"709,410",N/A,Italy,42.982,12.764,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=CcidGFf8Ra8jfFyo5YOZWlgl,N/A,xmlfiles/eng/trans-4099.xml
710,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=GdpAho7XP5gxwNP4T7IIT1Rk,N/A,xmlfiles/eng/trans-5238.xml
710,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=3whjkj62jhx8oxp7cpjicldp,N/A,http://www.gutenberg.org/ebooks/10
711,N/A,"Germans – Southwest: Alsace (Elsass), Baden-Württemberg, Swabia, Switzerland",49,8,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=TUvC1Zq6Jezjjx3XUwtYCZV2,N/A,xmlfiles/eng/trans-3360.xml
712,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=7rpnvaz41047vp24ru091d7g,N/A,http://www.gutenberg.org/ebooks/10
713,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=545eob34kl7qr2ajy1sl4sba,N/A,http://www.gutenberg.org/ebooks/10
714,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=zlshtmgzvp3njio3kc8h4lc4,N/A,http://www.gutenberg.org/ebooks/10
715,N/A,"Germans – Southwest: Alsace (Elsass), Baden-Württemberg, Swabia, Switzerland",49,8,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=Nv86xE23G5PyAk1vfnAZOwwa,N/A,xmlfiles/new/new-10.xml
715,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=5nzesw3lzjeawa4f360bxvut,N/A,http://www.gutenberg.org/ebooks/10
716,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=0kw8zrtpkmoi45pg09d2de5z,N/A,http://www.gutenberg.org/ebooks/10
720,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=zkq2frfeivox2mwecncohijh,N/A,http://www.gutenberg.org/ebooks/10
722,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=v2oyf55gc499ojvs7p3d1dc8,N/A,http://www.gutenberg.org/ebooks/10
724,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=myosizjtsljh8h7sldmjrea7,N/A,http://www.gutenberg.org/ebooks/10
726,N/A,Norway,64.978,16.67,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=v78HpFz8WDMmNdDGSZrW15KX,N/A,xmlfiles/eng/trans-3322.xml
749,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=qcqsfzotowkneehnigmoud2p,N/A,http://www.gutenberg.org/ebooks/10
752,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=6ozg5y78msqrkf29h8bxj6ks,N/A,http://www.gutenberg.org/ebooks/10
753,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=SCJPwQeVxkYEX3q2mTEs3XNj,N/A,xmlfiles/eng/trans-1401.xml
766,N/A,Germany,51.083,10.426,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=dtiiyZ8SpT9ETdk6B1xVgI2T,N/A,xmlfiles/pol/trans-1908.xml
769,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=72labnb0za45m0sfvs7u9y7c,N/A,http://www.gutenberg.org/ebooks/10
776,N/A,"Arabs Of Levant (Syria, Palestine, Lebanon, Jordan); Bedouins Of Sinai",31.74312,36.10547,https://www.folkloredatabase.com/index.php?pl=db_read_story&guid=x74lenwe70mkjigjl9vkxha8,N/A,http://www.gutenberg.org/ebooks/10
