"Motif Reference","Motif Title","Location / Tradition",Latitude,Longitude,"Narrative Text",source,berezkin,other_data
,N/A,Germany,51.083,10.426,"Changeling Beliefs in Altmark
J. D. H. Temme, Folk Legends from Altmark
To prevent the ""thickheads"" (underground spirits) from exchanging a newborn child, it must be continuously watched until it is baptized. For this reason the baptism takes place as soon as possible.
Dwarfs in the region between Salzwedel and Disdorf are not called ""thickheads,"" but rather ""the underground people."" Here the belief that a child can be exchanged is especially strong. People fear that the misshapen dwarfs who live beneath the earth, and who would like nothing more than to have beautiful, well-formed human children, will steal newborns, leaving their own malformed children, called changelings, in their place. Therefore there is always a great rush to have the child baptized, and until this happens the mother and child will not be left alone for even an instant. Furthermore, until then there must always be a burning light near them, even in broad daylight, because the underground people are afraid of light.
A child must carefully and continuously be protected against exchange by the underground people until it is baptized. Therefore the so-called ""word of God,"" a leaf from the Bible from a hymnbook, is either wrapped up with the child in its blanket or laid in its cradle.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=NwqgH3ZHcuD2NL5QADNnX1TC,N/A,
,N/A,Denmark,56.001,9.379,"A woman's child was once changed by the troll-folk, and instead of a beautiful fair-haired child, she got a little dumpy creature, with a big head, and little eyes as black as coal.
The poor mother had recourse to a ""wise woman,"" who gave her the following advice. She should first try whether the child was really a changeling, and if was so, she should threaten to throw it into the heated baking-oven, and then its real mother would come and take it away.

The woman therefore set the changeling down on the hearth, while she went about saying to herself that now she would start to brew. She then took seven eggshells filled with water, and set them on the fire beside the child, after which she hid herself near at hand, to see how the changeling would behave at this.

It looked long at the eggshells in which the water was boiling, and then exclaimed in amazement: ""Long have I lived and much have I seen. I have seen Rold Forest seven times burned down, and seven times grow up again, but never have I seen anyone brew in eggshells.""

The woman then came out of her hiding-place and said: ""Then you are old enough now, you little troll! Into the oven you shall go.""

But immediately there appeared a little grey female with the woman's child on her arm, which she gave her, while at the same time she seized the changeling and said, ""I have never treated your child as you have treated mine!""",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=SUCHpiJECahwfDclGicov554,N/A,
,N/A,Germany,51.083,10.426,"Table Talks on Changelings
Martin Luther
The Story of a Changeling at Dessau
Eight years ago [in the year 1532] at Dessau, I, Dr. Martin Luther, saw and touched a changeling. It was twelve years old, and from its eyes and the fact that it had all of its senses, one could have thought that it was a real child. It did nothing but eat; in fact, it ate enough for any four peasants or threshers. It ate, shit, and pissed, and whenever someone touched it, it cried. When bad things happened in the house, it laughed and was happy; but when things went well, it cried. It had these two virtues. I said to the Princes of Anhalt: ""If I were the prince or the ruler here, I would throw this child into the water--into the Molda that flows by Dessau. I would dare commit homicidium on him!"" But the Elector of Saxony, who was with me at Dessau, and the Princes of Anhalt did not want to follow my advice. Therefore, I said: ""Then you should have all Christians repeat the Lord's Prayer in church that God may exorcise the devil."" They did this daily at Dessau, and the changeling child died in the following year.... Such a changeling child is only a piece of flesh, a massa carnis, because it has no soul.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=w53dDI3p4n1NYvRSvIgra45h,N/A,
,N/A,Norway,64.978,16.67,"About the year 1720, Søren married Jesper Bekhus's daughter Asloug. With her he got the farm, and they were quite well off. However, Asloug was uglier than anyone, beyond measure ugly.
It was said that she was a changeling, and there was reason to believe this legend. As a child her mother had whipped her and on many a Thursday night had left her out on the manure pile. The child had screamed and carried on like a wild dog, but she had not been re-exchanged. Finally they thought that they might as well keep her as she was.

It was as the proverb states: ""You cannot will beauty anymore than you can shit a lily.""

Nevertheless, Søren and Asloug lived quite well together and had many children, most of whom died as infants.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=maOi79KAdHit2ZldeqBDXPKZ,N/A,
,N/A,Germany,51.083,10.426,"The Dwarf's Confession
August Ey, Legends and Tales from the Upper Harz
A mother had her child exchanged by the dwarfs, and in its place they laid a changeling. The mother was concerned, because the child looked so very old. She shared her grief with a laborer. He told her that it wasn't her child, but rather a dwarf. She could prove this by boiling some oil while holding the child and then asking him how old he was. The woman did this. With the child on her arm, she put the oil on the fire. It asked her what she was doing, and the mother said that she wanted to brew some beer. With that she set some empty walnut shells around the fire, so she could later pour the beer into them. Then the dwarf said, innocently and without thinking:
Now I am as old
As the Harz Wood,
And I've never seen anything like this,
My entire life long.
Brewing beer in walnut shells!
Now the mother knew that it was an old dwarf. Thus she set him down and threatened to kill him if he didn't bring her child back. The dwarf told just to go outside for a short while. When she came back in, her child was there and the dwarf was gone. Later the child became large, strong, wealthy, and very happy.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=ZhCXc44YWpJvsTw4wMswMZi9,N/A,
,N/A,England,51.30,0.7,"The Piskies' Changeling
Robert Hunt, Popular Romances of the West of England
This story is told by Mr. T. Q. Couch, as an example of the folk-lore of a Cornish village, in ""Notes and Queries,"" under the name of ""Coleman Gray"":
There is a farmhouse of some antiquity with which my family have a close connection; and it is this circumstance, more than any other, that has rendered this tradition concerning it more interesting to us, and better remembered than many other equally romantic and authentic.

Close to this house, one day, a little miserable-looking bantling was discovered alone, unknown, and incapable of making its wants understood. It was instantly remembered by the finder, that this was the way in which the piskies were accustomed to deal with those infants of their race for whom they sought human protection; and it would have been an awful circumstance if such a one were not received by the individual so visited. The anger of the piskies would be certain, and some direful calamity must be the result; whereas, a kind welcome would probably be attended with great good fortune.

The miserable plight of this stranger, therefore, attracted attention and sympathy. The little unconscious one was admitted as one of the family. Its health was speedily restored, and its renewed strength, activity, intelligence, and good-humour, caused it to become a general favourite.

It is true the stranger was often found to indulge in odd freaks; but this was accounted for by a recollection of its pedigree, which was not doubted to be of the piskie order. So the family prospered, and had banished the thought that the foundling would ever leave them.

There was to the front door of this house, a hatch, which is a half-door, that is kept closed when the whole door behind it is open, and it then serves as a guard against the intrusion of dogs, hogs, and ducks, while air and light are freely admitted. This little being was one day leaning over the top of this hatch, and looking wistfully outward, when a clear voice was heard to proceed from a neighbouring part of the townplace, calling ""Coleman Gray, Coleman Gray!""

The piskie immediately started up, and with a sudden laugh clapped its hands, exclaiming, ""Aha! my daddy is come!"" It was gone in a moment, never to be seen again.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Kuw2LD76bQtZsKM9Y82zw2ZX,N/A,
,N/A,Norway,64.978,16.67,"Exchanges and abductions are among the most common subjects of local legends.
There are supernatural beings who would like to exchange small children; these are usually called the underground people. They will come and take back their changeling child if one beats it severely, for they live close by and belong to the hidden people.

One should put some steel or a hymn book in a baby's cradle, especially before they are baptized. Otherwise the underground people can take the human child, replacing it with one of their own.

Such a changeling will reveal its origin by its old-man's face and its large head. If you have such a changeling lying in your cradle you must beat it with a birch switch three Thursday nights in succession, and that will bring forth the trolls. The underground mother will be moved by her child's screams and will bring the human child back to the cradle.

One day a woman's baby boy was taken from the cradle and a changeling put there in his place. It had the face of an old man, drank like a wolf, and could never be satisfied.

A neighbor woman advised that she should try to get him to talk, and if he did so, she should beat him with seven new brooms until no twig was left on them.

The woman sat down to weave at a loom in which there was no yarn. The changling lay still for a long time and staring at it. Finally he sat up in the cradle and asked what the mother was doing.

""Oh, I'm weaving a shirt out of nothing,"" said the woman.

""Now I have lived in seven woods (the time from when a tree sprouts until it dies of old age), but I have never seen anyone weave something from nothing,"" said the changeling.

Then the wife began to beat him with a broom until the twigs flew. She had worn two brooms naked and taken hold of the third. The changeling was screaming.

Then the trolls rushed in and threw her boy to her, saying, ""There you have your ugly boy, let's take our poor fellow back again.""

It is feared that the underground people also abduct adults. There are many reports that they lure away someone they are in love with and want to marry. If successful, the boy or girl will disappear, and they may be gone for a long time. Often the missing person does come back, but then he or she is usually quite strange or weird.

Thus on a farm in Skjerstad there was a half-grown boy named Lars, and he disappeared. But one day, when the people were doing field work, Lars was seen sitting near them with his back against a large rock. In his hand he was holding a flat stone slab and staring at it.

They took the stone slab and threw it away. Then the boy stopped crying. They had destroyed the catechism he had from the underground.

The priest was probably told where the boy had been, but he was too wise to tell what the boy had experienced with the underground people. The boy was now half-witted, as it often happens to the someone who has been taken away.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=bkElCqjde5OwyC0SlwFY8hAu,N/A,
,N/A,Ireland,53,-8,"Irish Changeling Beliefs
Thomas Johnson Westropp, ""A Study of Folklore on the Coasts of Connacht, Ireland""
Otway in A Tour in Connaught also notes beliefs among the people of Inishbofin which I found flourishing over seventy years later in that primitive place. It was firmly believed that the hills were full of fairies, ""romping and carousing within,"" and that they carried off children and robbed milk and butter. The sprites could exercise malignant power on infants especially before baptism, stealing the handsome ones and replacing them by puny withered changelings. The only way to get rid of these was to set a pot on the fire and threaten to boil the fairy child, who then vanishes and the real child was brought back. Women who die in childbirth are believed to have been carried off to fairyland.
I met everywhere, from Ballycastle to Inishbofin, beliefs as to the existence of changelings. Lady Wilde gives several from Inishark which seem to be good local tales. [Note 1] I must only give the shortest condensation of the beliefs.

An old woman came into a house and looked at a child without saying ""God bless you""; it got ill, a strange ""wise woman"" told the parents that it had been changed and directed them to get a bit of the old woman's cloak. This made the elf sneeze and the true child was brought back.
A man saw the fairies carrying off a boy, and, signing the cross, rescued the infant. He found the mother weeping over the supposed corpse, which he made her throw into the fire, where it came to life and flew up the chimney. He then gave her the real baby.
A man, whose young wife had long been childless, taunted her, and she soon after bore a lovely boy. One day to his horror it suddenly grew a long beard, and he beat his wife, at whose screams two red-capped women came and beat him till he asked pardon. The real child sent a tuft of rushes to the mother, and she was able to enter the fairy palace. An old woman brought her to the king and said she was the nurse of his own son. He restored her own child and said the man who beat her was a fairy disguised as her husband. She invoked God's name and fell senseless, eventually recovering and returning home to find she had been three years absent. She found that her husband had detected the changeling and put it on the fire, when it shrieked and flew up the chimney.
Mary Callan of Shark while sitting alone with her newborn child was wrapped in a cloak by two men and carried away to the Fairy Hall. She touched her eye with the fairies' ointment and saw a crowd of her neighbors' supposed-dead children who told her that they could not return till Doomsday. One also told her that the men were waiting to steal her child till the candle she had lit should go out, and bade her tell his mother that he was alive. He gave her a leaf to crush when in trouble, and she found herself outside of the Hill, returning home, to find her child dying, she crushed the leaf and the infant recovered. The leaf was put into an amulet.
A changeling, found playing pipes behind a tub of meal, was put on a shovel over the fire and vanished.
",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=x8oKIBJbE6cjNRgMjDbSDEIq,N/A,
,N/A,Germany,51.083,10.426,"The Changeling of Spornitz
Karl Bartsch, Legends, Tales, and Customs from Mecklenburg
A young peasant woman in Spornitz had her child stolen by an underground person or a Mönk, and a changeling put in its place in the cradle. The mother saw it happen, but she could neither move nor call out. The maniken told her that her son would someday become the king of the underground people. From time to time they had to exchange one of their king's children for a human child so that earthly beauty would not entirely die out among them. She was told to take good care of the little dwarf prince, and her house would be blessed with good fortune. With that the Mönk laid the changeling on her breast and disappeared with her child. She took care of the child, and the prosperity of her household increased visibly. However, the changeling remained small and ugly, and died in his twentieth year.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=TVZdOEApX4rIPbjrwUSq1XIm,N/A,
,N/A,Germany,51.083,10.426,"The Elves
Jacob and Wilhelm Grimm, Children's and Household Tales
A mother had her child taken from the cradle by elves. In its place they laid a changeling with a thick head and staring eyes who would do nothing but eat and drink. In distress she went to a neighbor and asked for advice. The neighbor told her to carry the changeling into the kitchen, set it on the hearth, make a fire, and boil water in two eggshells. That should make the changeling laugh, and if he laughs it will be all over with him. The woman did everything just as her neighbor said. When she placed the eggshells filled with water over the fire, the blockhead said:
Now I am as old
As the Wester Wood,
But have never seen anyone cooking in shells!
And he began laughing about it. When he laughed, a band of little elves suddenly appeared. They brought the rightful child, set it on the hearth, and took the changeling away.",https://www.folkloredatabase.com/db_index.php?pl=db_read_story&guid=Dr9w2dOZXhlZXvtgjeUEqG4t,N/A,
